N,Q,bigfrag,averagefrag,critical_index
128,1338.9484570998347,0.36556890894094907,5.174977276018384,41
256,2761.0796286629306,0.31463766312871183,6.42751570916456,43
384,4138.816568823064,0.3032629379015415,7.657824470104394,41
512,5695.57927334482,0.2635059698067808,8.20361498793579,43
768,8648.114656882815,0.23058249798645863,10.036146319674282,43
1024,11663.90571517437,0.2162416796426781,11.200213447685949,48
