N,p,bigfrag,averagefrag,critical_index
512,0.002299323902662815,0.2577668988834698,6.2614132533654026,17
768,0.0014666034032745007,0.20336129931625013,7.150371492446379,14
1024,0.0010753603154116855,0.16976289602343458,7.876557282689246,15
2048,0.000525379903899965,0.13726434380314215,10.009800167671289,14
4096,0.000262562054996475,0.12894457881657698,12.54255045552145,14
